Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf,['FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive)'],FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive),"['""El Pollo Loco"" or ""Franchisor""', 'an individual', 'Developer', 'EL POLLO LOCO, INC.']","EL POLLO LOCO, INC. (""El Pollo Loco"" or ""Franchisor""); an individual (""Developer"")",[],,"['This Agreement shall commence on the date specified in Exhibit ""B"".']",,"['Notwithstanding any provision to the contrary contained herein, unless earlier terminated by either party, this Agreement shall expire on ______, 20___, and all rights of Developer herein shall cease and all unapplied or unused Development Fees paid pursuant to Section 3 hereof shall be forfeited to Franchisor.', 'Unless terminated pursuant to Section 10 or 11 below, it shall expire upon the earlier of the date specified in Exhibit ""B"" or upon the opening of the last El Pollo Loco® Restaurant listed in the Development Schedule.']",[ ]/[ ]/20[ ],[],,[],,"[""This Agreement, after review by Developer and El Pollo Loco, was accepted in the state in which Franchisor's then-current headquarters (currently the State of California) is located and shall be governed by and construed in accordance with the laws of such state, except that the provisions in Section 20.1 covering competition following the expiration, termination or assignment of this Agreement shall be governed by the laws of the state in which the breach occurs.""]",California; the state in which the breach occurs
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,['Consulting and Product Development Agreement'],Consulting and Product Development Agreement,"['Emerald Health Nutraceuticals Inc.', 'EHS', 'EHN', 'Michael T. Murray, N.D', 'Dr. Murray', 'Emerald Health Sciences Inc.']","Emerald Health Sciences Inc. (""EHS""); Emerald Health Nutraceuticals Inc. (""EHN""); Michael T. Murray, N.D. (""Dr. Murray"")",['1st day of September 2016'],9/1/16,['1st day of September 2016'],9/1/16,"['Dr. Murray\'s obligations set out herein shall be performed from the Effective Date until December 31, 2018 (the initial ""Services Term"").', 'Except as otherwise stated herein as pertaining only to a Services Term, this Agreement shall remain in effect for ten years, unless terminated in accordance with Sections 6.1 (a) or 6.2(b).']",12/31/18,"[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]",successive 2 years,"[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]",90 days,"['This Agreement shall be governed by and construed and enforced in accordance with the laws of the State of Arizona without regard to conflict of law principles, may not be amended except by a writing signed by both parties, and shall supersede any and all prior discussions and writings between the parties concerning the subject matter.']",Arizona
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,['DEVELOPMENT AND OPTION AGREEMENT'],DEVELOPMENT AND OPTION AGREEMENT,"['Harpoon Therapeutics, Inc.', 'AbbVie Biotechnology Ltd', 'AbbVie', 'Harpoon']","Harpoon Therapeutics, Inc. (""Harpoon""); AbbVie Biotechnology Ltd (""AbbVie"")","['November 20, 2019']",11/20/19,"['November 20, 2019']",11/20/19,"['This Agreement shall commence on the Effective Date and, unless earlier terminated in accordance herewith, shall continue in force and effect until (a) the date of expiration of the last Royalty Term for the last Licensed Product, or (b) the expiration of the License Option Period and the failure of AbbVie to exercise the License Option (such period, the ""Term"").']",,[],,[],,"['This Agreement or the performance, enforcement, breach or termination hereof shall be interpreted, governed by and construed in accordance with the laws of the State of Delaware, United States, excluding any conflicts or choice of law rule or principle that might otherwise refer construction or interpretation of this Agreement to the substantive law of another jurisdiction; provided that all questions concerning (a) inventorship of Patents under this Agreement shall be determined in accordance with Section 7.1.3 and (b) the construction or effect of Patents shall be determined in accordance with the laws of the country or other jurisdiction in which the particular Patent has been filed or granted, as the case may be.']",Delaware
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,['MASTER JOINT DEVELOPMENT AGREEMENT'],MASTER JOINT DEVELOPMENT AGREEMENT,"['CC-Pharming', 'iBio Inc.', 'Beijing CC-Pharming Ltd.']","iBio Inc.; Beijing CC-Pharming Ltd. (""CC-Pharming"")","['August 08, 2018']",8/8/18,"['The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.<omitted>August 08, 2018']",8/8/18,"['The term of this Agreement (""Term"") will begin on the date this Agreement is signed by the last signatory (""Effective Date"") and remain in effect for [***]; provided, however, that the terms of this Agreement shall remain applicable to any SOW that was executed by the Parties prior to the expiration or termination of this Agreement but whose period of performance extends beyond the expiration or termination of this Agreement.']",,[],,[],,"['This Agreement is governed by the laws of the State of Texas, without regard to the conflict of laws provisions thereof.']",Texas
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,['OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT'],OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT,"['Developer', 'DSS', 'HotApp International Ltd.', 'Document Security Systems, Inc.']","Document Security Systems, Inc. (""DSS""); HotApp International Ltd. (""Developer"")","['1s t day of March, 2018']",3/1/18,"['1s t day of March, 2018']",3/1/18,"['The initial term of this Agreement shall commence on the Effective Date, and shall continue thereafter for a period of twelve (12) months (the ""Initial Term"").']",3/1/19,"['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof']",successive 1 month,"['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof.']",30 days,['This Agreement shall be governed in accordance with the laws of the State of New York without regard to conflict of laws principles.'],New York
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,['REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT'],REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT,"['T&B Seminars, Inc.', 'LEA', 'Legacy Education Alliance Holdings, Inc.', 'T&B']","T&B Seminars, Inc. (""T&B""); Legacy Education Alliance Holdings, Inc. (""LEA"")",['12-23-2019'],12/23/19,['12-23-2019'],12/23/19,"['The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years.', 'The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.']",12/23/24,['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.'],successive 5 years,['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.'],90 days,"['This Agreement will be governed by and construed in accordance with the laws of the State of New York without regard to its provisions concerning the applicability of the laws of other jurisdictions, and specifically excluding the United Nations Convention on the International Sale of Goods.']",New York
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,['BUSINESS DEVELOPMENT AGREEMENT'],BUSINESS DEVELOPMENT AGREEMENT,"['LIQUIDMETAL TECHNOLOGIES, INC.', 'Eutectix', 'EUTECTIX, LLC', 'Liquidmetal']","LIQUIDMETAL TECHNOLOGIES, INC. (""Liquidmetal""); EUTECTIX, LLC (""Eutectix"")","[', 2020']",[]/[]/2020,"[', 2020']",[]/[]/2020,"['The initial term of this Agreement shall commence on the Effective Date and shall continue until the fifth (5t h) anniversary of the Effective Date (the ""Term""), unless the Agreement is sooner terminated in accordance with the terms of this Agreement.']",[]/[]/2025,"['Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']",succesive 1 year,"['Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.', 'Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']",180 days,"['This Agreement, the legal relations between the parties, and any action, whether contractual or non-contractual, instituted by any party with respect to matters arising under or growing out of or in connection with or in respect of this Agreement shall be governed by and construed in accordance with the internal laws of the State of Arizona (U.S.A.), excluding any choice of law rules that may direct the application of the laws of another jurisdiction, and except that questions affecting the construction and effect of any Patent shall be determined by the law of the country in which the Patent has been granted.']",Arizona
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,['License and Development Agreement'],License and Development Agreement,"['NLS-1 Pharma AG', 'Eurofarma Laboratórios S.A.', '""Licensee"" / ""Eurofarma""', '""Licensor"" / ""NLS""', '(Licensor and Licensee each a ʺPartyʺ collectively the ʺPartiesʺ)']","NLS-1 Pharma AG (""Licensor"" or ""NLS""); Eurofarma Laboratorios S.A. (""Licensee"" or ""Eurofarma"")(""Party"" collectively the ""Parties"")",[],,['Effective Date shall be the date of the last signature on the last page of this Agreement.'],,"['This Agreement will come into effect on the Effective Date and shall continue in full force for ten (10) years from the Launch (the ""Initial Term""), or the date of expiry of the last valid patent of the Licensed Product, whichever comes later, subject to clauses 19.2, 19.3, 19.4 and 19.5 hereunder']",,[],,[],,"['This Agreement shall be governed by and construed in accordance with the substantive laws of the Netherlands, excluding its rules of conflicts of law and the United Nations Convention on Contracts for the International Sale of Goods dated 11 April 1980 (CISG), as amended from time to time.']",Netherlands
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,['CO-DEVELOPMENT AGREEMENT'],CO-DEVELOPMENT AGREEMENT,"['SFJ', 'each, a ""Party"" and collectively, the ""Parties"").', 'PhaseBio Pharmaceuticals Inc.', 'PB', 'SFJ Pharmaceuticals X, Ltd.']","PhaseBio Pharmaceuticals Inc. (""PB""); SFJ Pharmaceuticals X, Ltd. (""SFJ"")(""party"" and collectively, the ""Parties"")","['January 9, 2020']",1/9/20,"['January 9, 2020']",1/9/20,"['The term of this Agreement (the ""Term"") will commence on the Effective Date and will expire upon the earliest of (i) termination of this Agreement in accordance with Section 14.2, or (ii) the date of payment of the last Approval Payment due based on all applicable Regulatory Approvals which have been received.']",,[],,[],,"['The construction and validity of this Agreement and the provisions hereof, and the rights and obligations of the Parties hereunder, will be governed by the internal laws of the State of Delaware, USA, and, to the extent applicable to Patents and Trademarks, the applicable federal laws of the USA, in each instance without regard to conflict of laws principles.']",Delaware
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,"['COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT']","COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","['Revolution Medicines, Inc.', 'Sanofi and RevMed are referred to in this Agreement individually as a ""Party"" and collectively as the ""Parties.""', 'RevMed', 'Aventis, Inc.', 'Sanofi']","Revolution Medicines, Inc. (""Revmed""); Aventis, Inc. (""Sanofi"")(""Party"" and collectively as the ""Parties"")","['June 8, 2018']",6/8/18,"['June 8, 2018']",6/8/18,"['The term of this Agreement shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article XII, shall continue in full force and effect until the expiration of Sanofi\'s payment obligations under Article IX or the Profit/Loss Share Agreement, whichever is later (the ""Term"").']",,[],,[],,"['This Letter shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws.', 'This Agreement shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws.']",New York
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,['DISTRIBUTION AND DEVELOPMENT AGREEMENT'],DISTRIBUTION AND DEVELOPMENT AGREEMENT,"['Sekisui', 'Qualigen, Inc. and its Affiliates', 'Qualigen', 'Sekisui Diagnostics, LLC and its Affiliates']","Sekisui Diagnostics, LLC and its Affiliates (""Sekisui""); Qualigen, Inc. and its Affiliates (""Qualigen"")","['May 1, 2016']",5/1/16,[],,"['The initial term of this Agreement shall commence on the Effective Date and shall continue for a period of five (5) years unless earlier terminated pursuant to Section 14 hereof (the ""Term"").']",5/1/21,['The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement.'],Successive 1 year,['The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement'],6 months,"['This Agreement shall be governed by, and construed and interpreted in accordance with, the laws of the State of Delaware, without reference to its conflicts of laws principles.']",Delaware
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,['Mobile Application Development Agreement'],Mobile Application Development Agreement,"['VAL', 'VGrab Asia Ltd.', 'Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie']","VGrab Asia Ltd. (""VAL""); Mr. Zheng Qing, Mr. Gu Xianwin and Ms. Chen Weijie (""Developer"")","['5th Day of March, 2019']",3/5/19,['This Agreement shall commence on 5th March 2019'],3/5/19,"['This Agreement commences on the date it is executed and shall continue until full performance by both parties, or until earlier terminated by one party under the terms of this Agreement.', 'This Agreement will be for the maximum period of six (6) months beginning for the commencement date, renewable in accordance with the terms hereof, unless earlier terminated pursuant to this Agreement.']",09/05/2019; perpetual,[],,[],,"['This agreement shall be construed, interpreted and governed by and in accordance with the laws of Hong Kong.']",Hong Kong
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,['DOMAIN NAME AND CONTENT LICENSE AGREEMENT'],DOMAIN NAME AND CONTENT LICENSE AGREEMENT,"['Beijing SINA Internet Information Service Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd.', 'Licensor', 'Licensee']","Beijing SINA Internet Information Service Co., Ltd. (""Licensor""); Beijing Yisheng Leju Information Services Co., Ltd. (""Licensee"")",[],,"['""Effective Date"" means the Closing Date as set forth in the Share Purchase Agreement.']",,"['The initial term of this Agreement (the ""Initial Term"") shall commence on the Effective Date and shall continue for a period of ten (10)  years thereafter.']",,[],,[],,"[""This Agreement and any dispute or claim arising out of or in connection with it or its subject matter shall be governed by,  and construed in accordance with, the laws of the People's Republic of China (without regard to its conflicts of laws rules that would mandate the  application of the laws of another jurisdiction)."", 'This Termination Agreement shall be governed by the laws of the PRC, without regard to conflicts of law principles.']",People's Republic of China
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,['JOINT CONTENT LICENSE AGREEMENT'],JOINT CONTENT LICENSE AGREEMENT,"['WPT Enterprises, Inc.', 'Zynga US', '(""Zynga Ireland,"" and together with Zynga US and their respective Affiliates, ""Zynga"").', 'ZYNGA GAME IRELAND LIMITED', 'ZYNGA INC.', 'WPT']","WPT Enterprises, Inc. (“WPT”); ZYNGA INC. (“Zynga US”); ZYNGA GAME IRELAND LIMITED (""Zynga Ireland"", and together with Zynga US and their respective Affiliates, “Zynga”)","['February 1, 2018']",2/1/18,"['February 1, 2018']",2/1/18,"['This Agreement will be in effect for three (3) years from the Effective Date (""Initial Term"") unless terminated earlier in accordance with this Agreement.']",2/1/21,"['This Agreement shall automatically extend for an additional two (2) years on the same terms herein (""Renewal Term"") provided WPT receives payments greater than twelve million U.S. dollars ($12,000,000) within the Initial Term.']",2 years,[],,['This Agreement will for all purposes be governed by and interpreted in accordance with the laws of the State of California without giving effect to any conflict of laws principles that require the application of the laws of a different state.'],California
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,['CONTENT LICENSING AGREEMENT'],                           CONTENT LICENSING AGREEMENT,"['Data Call Technologies, Inc.', 'Licensor', 'plan_b', 'PLAN_B MEDIA AG']","Data Call Technologies, Inc (""Licensor""); PLAN_B MEDIA AG (""plan_b"")",['03/24/06'],3/24/06,['Contract  start:  04-01-06'],4/1/06,"['Unless  otherwise  stated  in  the  Appendix  the  term of this letter           Agreement  shall  continue  for  twenty-four  (24)  months  with  the           effective  date  unless  terminated sooner or extended pursuant to the           terms hereof (""Initial Term"")', 'Contract  end:  04-01-08']",4/1/08,['The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.'],0.5 year,['The Initial Term shall automatically be           extended  for  an additional period of half a year unless either party           provides  the  other party with written notification of termination of           the  letter  Agreement  at  least 60 days prior to end of such period.'],60 days,['This Agreement  shall  be  governed  and  construed in accordance with           the  laws  of  the  United  States of America.'],United States
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],CONTENT LICENSE AGREEMENT,"['MobileVision Communications Ltd.', 'Distributor', 'Global Music International, Inc. d/b/a Independent Music Network', 'IMNTV']","Global Music International, Inc. d/b/a Independent Music Network (""IMNTV""); MobileVision Communications, Ltd. (""Distributor"")",['13/07/05'],7/13/05,"['This Agreement is effective as of the last date signed below (""Effective Date"").<omitted>13/07/05']",7/13/05,"['The initial term of this Agreement will begin on the Effective Date and end twelve (12) months after the Launch (the ""Term"").']",7/13/06,"['IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties']",successive 1 year,[],,['This Agreement will be governed by the laws of the State of Florida without regard to conflicts of law provisions.'],Florida
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,['FORM OF CONTENT LICENSE AGREEMENT'],FORM OF CONTENT LICENSE AGREEMENT,"['YOU ON DEMAND HOLDINGS, INC.', 'Licensor', 'Licensee', 'Beijing Sun Seven Stars Culture Development Limited']","Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")","['___________, 2015']",[]/[]/2015,"['__________, 2015']",[]/[]/2015,"['The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b).']",[]/[]/2035,[],,[],,"['This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles.', 'The merits of the dispute shall be resolved in accordance with the laws of the State of New York, without reference to its choice of law rules.']",New York
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],                CONTENT LICENSE AGREEMENT,"['COMPANY', 'NCM', 'YGP, LLC,', '(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"").', 'New China Media LLC', 'TWK Holdings, LLC', 'TWK', '(NCM, YGP and TWK shall be individually and collectively referred to as ""CONTENT PROVIDER"")', 'YGP', 'Digicorp, Inc.', 'a/k/a New China Media Limited']","Digicorp, Inc. (""Company""); New China Media LLC ((a/k/a New China Media LLC) (""NCM""); YGP, LLC (""YGP""); TWK Holdings, LLC. (""TWK""); (NCM, YGP and TWK individually and collectively referred to as ""CONTENT PROVIDER"")(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")","['2nd day of June, 2008']",6/2/08,"['2nd day of June, 2008']",6/2/08,"['This Agreement and the provisions hereof, except as otherwise provided, shall be in full force and effect commencing on the date of execution by both Parties and shall extend for an initial term of two (2) years.']",6/2/10,"['This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.']",successive 2 years,"['This Agreement shall be automatically renewed for additional extended terms each of two (2) years duration unless either party notifies the other in writing of its intention not to renew the Agreement, such notification to be provided at least ninety (90) days prior to the expiration of the then in-effect term.']",90 days,"['This Agreement is to be governed by and construed in accordance with the Laws of the State of California applicable to contracts made and to be performed wholly within such State, and without regard to the conflicts of laws principles thereof.']",California
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],CONTENT LICENSE AGREEMENT,"['Licensor: PACIFICAP ENTERTAINMENT', 'Licensee THE HENRY FILM AND ENTERTAINMENT CORPORATION']","PACIFICAP ENTERTAINMENT (""Licensor""); THE HENRY FILM AND ENTERTAINMENT CORPORATION (""Licensee"")","['3rd day of November, 2005']",11/3/05,[],,"['This Agreement will become effective as of the last date of signature (Effective Date) and shall, unless sooner terminated as provided below or as otherwise agreed, remain effective for an initial term of 10 Years following the first date of public availability of the PACIFICAP ENTERTAINMENT Content within a THE HENRY FILM AND ENTERTAINMENT CORPORATION Property (the ""Initial Term"").']",,"['After the Initial Term, this Agreement will be automatically renewed for successive additional 3~year periods (""Extension Terms""), unless otherwise terminated by either party by giving notice to the other party not less than sixty (60) days prior to the end of a Term.']",successive 3 years,"['After the Initial Term, this Agreement will be automatically renewed for successive additional 3~year periods (""Extension Terms""), unless otherwise terminated by either party by giving notice to the other party not less than sixty (60) days prior to the end of a Term.']",60) days,[],California
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,['Program Content License Agreement'],Program Content License Agreement,"['Phoenix Satellite TV', 'Party B', 'Beijing Tianying Jiuzhou Network Technology Co., Ltd.', 'Party A', 'Phoenix Satellite Television Company Limited']","Phoenix Satellite Television Company Limited (""Party A""""Phoenix Satellite TV""); Beijing Tianying Jiuzhou Network Technology Co., Ltd (""Party B"")","['November 24, 2009']",11/24/09,"['This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of  each Party and have a term of five (5) years commencing as of the effective date hereof.<omitted>November 24, 2009']",11/24/09,['This Agreement shall become effective on the date on which it is signed and affixed with the corporate seals by the authorized representative of  each Party and have a term of five (5) years commencing as of the effective date hereof.'],11/24/14,[],,[],,"['The execution, validity, interpretation, enforcement and dispute resolution of this Agreement shall be governed by the PRC Law.']",People's Republic of China
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],  CONTENT LICENSE AGREEMENT,"['World Book, Inc.', 'HSWI', 'World Book', 'HSW International, Inc.']","World Book, Inc. (""World Book""); HSW International, Inc. (""HSWI"")","['September 17, 2008']",9/17/08,"['September 17, 2008']",9/17/08,"['This Agreement shall commence on the Effective Date and, except as set forth in Subsection (ii), continue in full force and effect through the Delivery Period.']",,"['At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.']",,[],,"['This Agreement, the rights and obligations of the parties hereto, and any claims or disputes thereto, shall be governed by and construed in accordance with the laws of the State of New York without reference to conflict of law principles. Venue for any proceedings not subject to arbitration under this Agreement shall be in the state and federal courts located in New York, New York.']",New York
WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement.pdf,['Media Content and License Agreement'],Media Content and License Agreement,"['Watchit Media', 'Oceanic Time Warner Cable']",Watchit Media; Oceanic Time Warner Cable,[],,"['Effective Dates: September 1, 2006, August 31, 2007']",09/01/2006; 8/31/2007,['This agreement will be in effect until the end of 2006 and will be evaluated at that time.'],12/31/06,[],,[],,[],
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],                            CONTENT LICENSE AGREEMENT,"['XFN', 'XINHUA FINANCIAL NETWORK LIMITED', 'CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY', 'CEIS']","CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY (""CEIS""); XINHUA FINANCIAL NETWORK LIMITED (""XFN"")",['15th day of December 2001'],12/15/01,['EFFECTIVE DATE     means 18 May 2000;'],5/18/00,"['This Agreement shall take effect from the Effective Date and continue in      full force and effect for twenty (20) years thereafter, unless otherwise      terminated in accordance with Clause 8.']",5/18/20,"['This Agreement may be renewed for an additional term of ten (10) years by      notice in writing given by XFN to CEIS at the expiry of the Term, for a      consideration to be mutually agreed.']",10 years,[],,['This Agreement is governed by and shall be construed in      accordance with the laws of Hong Kong'],Hong Kong
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],CONTENT LICENSE AGREEMENT,"['Emdeon Corporation', 'WebMD, Inc.', 'Emdeon', 'WebMD']","Emdeon Corporation (""Emdeon""); WebMD, Inc. (""WebMD"")","['October 1, 2005']",10/1/05,"['October 1, 2005']",10/1/05,"['Expiration Date: August 31, 2006', 'This Agreement shall be effective as of the Effective Date and shall expire on the Expiration Date set forth above (the ""Initial Term""), unless earlier terminated in accordance with Section 3(b).']",8/31/06,[],1 year,[],,"['This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without application of conflict of laws principles.']",New York
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.pdf,['ADDENDUM TO\n\nZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT'],"ADDENDUM TO 

ZEBRA® PARTNERCONNECT DISTRIBUTOR AGREEMENT","['ScanSource, Inc.', 'Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda.', 'ScanSource Brazil Distribuidora de Technologias, Ltda.', 'SCANSOURCE DE MEXICO S. DE R.L. DE C.V.', 'Zebra', 'ScanSource Mexico', '(Collectively ""Distributor\')', 'ScanSource', 'Zebra Technologies International, LLC', 'Xplore', '""Zebra"" and the ""Distributor"" are referred to collectively as \'Parties"" and individually as a ""Party"".', 'ScanSource Brazil', 'Zebra Brazil', 'Xplore Technologies Corporation of America', 'ScanSource Latin America', 'ScanSource Latin America, Inc.', 'collectively ""Zebra""']","Zebra Technologies International, LLC (""Zebra""), Zebra Technologies do Brasil - Comércio de Produtos de Informåtica Ltda.(""Zebra Brazil""), Xplore Technologies Corporation of America (""Xplore""), (Zebra, Zebra Brazil and Explore collectively as ""Zebra""); ScanSource, Inc. (""ScanSource""), ScanSource Latin America, Inc. (""ScanSource Latin America""), ScanSource Brazil Distribuidora de Technologias, Ltda. ""ScanSource Brazil""), SCANSOURCE DE MEXICO S. DE R.L. DE C.V. (""ScanSource Mexico"") ,(""ScanSource"", ""ScanSource Latin America"" , ""ScanSource Brazil"" and ScanSource Mexico collectively ""Distributor"")(""Zebra"" and the ""Distributor"" are referred to collectively as 'Parties"" and individually as a ""Party"")",['4th day of February 2019'],2/4/19,['4th day of February 2019'],2/4/19,[],,[],,[],,['The terms of the Governing Law and Dispute Resolution provisions of the Distribution Agreement will apply to this Addendum.'],
